,team,startTime,meanRhoForMatch
0,RNG,1665801775,0.7430352550551387
1,RNG,1665806999,0.7483303394170381
2,RNG,1665819193,0.6276567684395203
3,RNG,1665824352,0.7374030820095322
4,RNG,1665836609,0.6642410604869338
5,RNG,1665841527,0.6690050310196753
6,RNG,1665894700,0.6782848398963803
7,RNG,1665899357,0.6352164778912752
8,RNG,1665911104,0.6625305333875573
9,RNG,1665915090,0.6413020500835432
10,RNG,1665972051,0.6391931842386638
11,RNG,1665988250,0.6683924389309567
12,RNG,1665993813,0.5864772012864555
13,RNG,1666005634,0.6303553750757614
14,RNG,1666008955,0.6235872420421271
15,RNG,1666067171,0.6008245057509612
16,Team Liquid,1665801775,0.6142586495313873
17,Team Liquid,1665806999,0.6540368322239107
18,Team Liquid,1665819213,0.5789381264092404
19,Team Liquid,1665824097,0.5880363708906425
20,Team Liquid,1665832898,0.687765951644195
21,Team Liquid,1665836245,0.6390213159215216
22,Team Liquid,1665893156,0.6385761665701032
23,Team Liquid,1665898744,0.548888060466033
24,Team Liquid,1665910356,0.6179706400541392
25,Team Liquid,1665914769,0.6551066508668474
26,Team Liquid,1665972026,0.6803801656230705
27,Team Liquid,1665976587,0.5607752082681603
28,Team Liquid,1665988471,0.6817080696546515
29,Team Liquid,1666013901,0.6476331377778684
30,Team Liquid,1666017374,0.5381624393653628
31,Team Liquid,1666066369,0.5907980482517531
32,Team Liquid,1666069607,0.5603485821166437
33,EG,1665800889,0.5797193734397071
34,EG,1665805066,0.5960493887841328
35,EG,1665815605,0.4829697767759455
36,EG,1665819161,0.6175376764325444
37,EG,1665837591,0.5926985632534733
38,EG,1665893156,0.707969723470139
39,EG,1665898744,0.582219099373316
40,EG,1665910099,0.5212222364157542
41,EG,1665913386,0.6109077773395952
42,EG,1665972048,0.6117980069187188
43,EG,1665991722,0.5429610296385954
44,EG,1665995620,0.6151379549640783
45,EG,1666005634,0.604157342948435
46,EG,1666008955,0.6481760722053804
47,EG,1666067512,0.5140587104656017
48,EG,1666071533,0.6375333362421244
49,Soniqs,1665800889,0.6767591566747627
50,Soniqs,1665805066,0.6321637635566609
51,Soniqs,1665819213,0.5965751698186934
52,Soniqs,1665824097,0.6357246124735957
53,Soniqs,1665837956,0.648397223200222
54,Soniqs,1665842051,0.5924858022876494
55,Soniqs,1665894700,0.64265242838109
56,Soniqs,1665899357,0.6938676427532101
57,Soniqs,1665909770,0.5248394827924965
58,Soniqs,1665913512,0.6663181984279417
59,Soniqs,1665972171,0.5471705618521593
60,Soniqs,1665976290,0.5859466286767591
61,Soniqs,1665988742,0.6852297335408182
62,Soniqs,1665995169,0.6498155188110799
63,Soniqs,1666005604,0.5795259037174226
64,Soniqs,1666009512,0.7200081863968368
65,Soniqs,1666066994,0.582896133547284
66,Soniqs,1666071278,0.6844559778618371
67,Soniqs,1666081778,0.6118145953675094
68,Hokori,1665800877,0.6799422716157836
69,Hokori,1665805494,0.655956276339057
70,Hokori,1665816707,0.5741800650597554
71,Hokori,1665821263,0.6398931360912993
72,Hokori,1665836880,0.6694815063495514
73,Hokori,1665840771,0.6599821018744257
74,Hokori,1665893897,0.5771055466518947
75,Hokori,1665898217,0.6785808584680738
76,Hokori,1665910099,0.6392631472765493
77,Hokori,1665913386,0.6419675839695924
78,Hokori,1665972176,0.5962919892891688
79,Hokori,1665988250,0.6838309244489533
80,Hokori,1665993813,0.6695201998129613
81,Hokori,1666005604,0.634476432155041
82,Hokori,1666009512,0.5548263979320229
83,Hokori,1666066369,0.46592147152904
84,Hokori,1666069607,0.51265050349716
85,PSG.LGD,1665800877,0.5940012769812609
86,PSG.LGD,1665805494,0.5507111401387524
87,PSG.LGD,1665815605,0.5203956142616412
88,PSG.LGD,1665819161,0.5814095205668659
89,PSG.LGD,1665837956,0.5918060746877751
90,PSG.LGD,1665842051,0.6499763012393583
91,PSG.LGD,1665898597,0.5438616857468938
92,PSG.LGD,1665910356,0.6464754867152593
93,PSG.LGD,1665914769,0.6746352908092409
94,PSG.LGD,1665972051,0.522187311710191
95,PSG.LGD,1665989233,0.4960365657755943
96,PSG.LGD,1665992481,0.5733973622898161
97,PSG.LGD,1666009325,0.6327470207127897
98,PSG.LGD,1666013421,0.6682156560107719
99,PSG.LGD,1666066784,0.5921867071311537
100,PSG.LGD,1666071015,0.6289108880016094
101,Gaimin Gladiators,1665801013,0.684573240901605
102,Gaimin Gladiators,1665805421,0.7589016984204981
103,Gaimin Gladiators,1665820032,0.5731234765205665
104,Gaimin Gladiators,1665836880,0.5996254717102476
105,Gaimin Gladiators,1665840771,0.6936626212545002
106,Gaimin Gladiators,1665894752,0.6666937037698089
107,Gaimin Gladiators,1665898749,0.6225516014649398
108,Gaimin Gladiators,1665911104,0.6947592170638823
109,Gaimin Gladiators,1665915090,0.7593080905745313
110,Gaimin Gladiators,1665972026,0.6589071744217345
111,Gaimin Gladiators,1665976587,0.651835600120667
112,Gaimin Gladiators,1665991722,0.6960341958751952
113,Gaimin Gladiators,1665995620,0.5894403853592809
114,Gaimin Gladiators,1666009325,0.6041952857696583
115,Gaimin Gladiators,1666013421,0.5650291680803025
116,Gaimin Gladiators,1666066994,0.6422935993815987
117,Gaimin Gladiators,1666071278,0.5949271497934984
118,BetBoom Team,1665801013,0.6197754106934183
119,BetBoom Team,1665805421,0.7486131912389785
120,BetBoom Team,1665819193,0.7021382595296131
121,BetBoom Team,1665824352,0.6586043099683568
122,BetBoom Team,1665832898,0.6407006862996549
123,BetBoom Team,1665836245,0.5647878627913991
124,BetBoom Team,1665893897,0.5526993568987719
125,BetBoom Team,1665898217,0.6202378701549034
126,BetBoom Team,1665912013,0.6980358813172868
127,BetBoom Team,1665917017,0.6655587668754834
128,BetBoom Team,1665972048,0.5451133490790069
129,BetBoom Team,1665988742,0.6874978169582117
130,BetBoom Team,1665995169,0.6631816210914365
131,BetBoom Team,1666007871,0.5956970856429358
132,BetBoom Team,1666012890,0.5486177408854517
133,BetBoom Team,1666066784,0.681835891352645
134,BetBoom Team,1666071015,0.6489494993611029
135,BetBoom Team,1666086511,0.5752190200842028
136,BOOM Esports,1665805858,0.7758721521746189
137,BOOM Esports,1665816707,0.687216778606693
138,BOOM Esports,1665821263,0.5906478976500061
139,BOOM Esports,1665836609,0.7040995581772426
140,BOOM Esports,1665841527,0.6949205140244228
141,BOOM Esports,1665894752,0.6491574239484705
142,BOOM Esports,1665898749,0.5614112703878027
143,BOOM Esports,1665912013,0.6302970655808084
144,BOOM Esports,1665917017,0.6494208507812911
145,BOOM Esports,1665972171,0.5903666820919445
146,BOOM Esports,1665976290,0.5642519426996118
147,BOOM Esports,1665989233,0.6634806412994957
148,BOOM Esports,1665992481,0.7122663892506834
149,BOOM Esports,1666013901,0.5112603686161875
150,BOOM Esports,1666017374,0.6326367239349451
151,BOOM Esports,1666067512,0.6898034861482434
152,BOOM Esports,1666071533,0.7028886482736272
153,BOOM Esports,1666081778,0.6740891042706836
154,BOOM Esports,1666086511,0.6426625678894308
155,OG,1665805858,0.6636162645593443
156,OG,1665820032,0.5677072222859765
157,OG,1665837591,0.6704424749622538
158,OG,1665898597,0.5910073078734551
159,OG,1665909770,0.611188635816543
160,OG,1665913512,0.7431153917030718
161,OG,1665972176,0.6001998652340192
162,OG,1665988471,0.6898867459313434
163,OG,1666007871,0.5724480529622246
164,OG,1666012890,0.611810861362436
165,OG,1666067171,0.6035198100269333
166,Thunder Awaken,1665808659,0.7544291245027087
167,Thunder Awaken,1665811802,0.5279361711039736
168,Thunder Awaken,1665829811,0.6056387669710502
169,Thunder Awaken,1665886095,0.5982636901326799
170,Thunder Awaken,1665890189,0.5649309742953308
171,Thunder Awaken,1665902011,0.7067957214475062
172,Thunder Awaken,1665905824,0.5410894733088014
173,Thunder Awaken,1665918298,0.6198019907978878
174,Thunder Awaken,1665922313,0.582871239935376
